profileID,respID,qID,altID,obsID,price,dist_green,dist_shops,dist_trans,parking
272,24,9,1,216,-10,5km,500 meters,200,gratis områdets parkering
383,24,9,2,216,0,10km,5km,800,gratis områdets parkering
368,25,1,1,217,0,10km,500 meters,800,gratis områdets parkering
75,25,1,2,217,20,15km,5km,400,Garage
124,25,2,1,218,10,5km,15km,800,Garage
128,25,2,2,218,0,10km,15km,800,Garage
380,25,3,1,219,20,5km,5km,800,gratis områdets parkering
213,25,3,2,219,0,5km,15km,400,Förhyrd plats i området
251,25,4,1,220,-20,15km,5km,800,Förhyrd plats i området
124,25,4,2,220,10,5km,15km,800,Garage
152,25,5,1,221,-10,5km,5km,200,Förhyrd plats i området
360,25,5,2,221,20,15km,15km,400,gratis områdets parkering
183,25,6,1,222,0,5km,500 meters,400,Förhyrd plats i området
280,25,6,2,222,20,10km,500 meters,200,gratis områdets parkering
77,25,7,1,223,-10,5km,15km,400,Garage
371,25,7,2,223,-20,15km,500 meters,800,gratis områdets parkering
1,25,8,1,224,-20,5km,500 meters,200,Garage
260,25,8,2,224,20,5km,15km,800,Förhyrd plats i området
267,25,9,1,225,-10,15km,15km,800,Förhyrd plats i området
1,25,9,2,225,-20,5km,500 meters,200,Garage
144,26,1,1,226,10,10km,500 meters,200,Förhyrd plats i området
148,26,1,2,226,0,15km,500 meters,200,Förhyrd plats i området
244,26,2,1,227,10,5km,5km,800,Förhyrd plats i området
368,26,2,2,227,0,10km,500 meters,800,gratis områdets parkering
40,26,3,1,228,20,10km,15km,200,Garage
77,26,3,2,228,-10,5km,15km,400,Garage
201,26,4,1,229,-20,10km,5km,400,Förhyrd plats i området
251,26,4,2,229,-20,15km,5km,800,Förhyrd plats i området
179,26,5,1,230,10,15km,15km,200,Förhyrd plats i området
297,26,5,2,230,-10,15km,5km,200,gratis områdets parkering
297,26,6,1,231,-10,15km,5km,200,gratis områdets parkering
201,26,6,2,231,-20,10km,5km,400,Förhyrd plats i området
102,26,7,1,232,-10,15km,500 meters,800,Garage
216,26,7,2,232,-20,10km,15km,400,Förhyrd plats i området
16,26,8,1,233,-20,5km,5km,200,Garage
183,26,8,2,233,0,5km,500 meters,400,Förhyrd plats i området
95,26,9,1,234,20,5km,500 meters,800,Garage
40,26,9,2,234,20,10km,15km,200,Garage
51,27,1,1,235,-20,10km,500 meters,400,Garage
380,27,1,2,235,20,5km,5km,800,gratis områdets parkering
344,27,2,1,236,10,15km,5km,400,gratis områdets parkering
95,27,2,2,236,20,5km,500 meters,800,Garage
