profileID,respID,qID,altID,obsID,price,dist_green,dist_shops,dist_trans,parking
124,12,7,1,117,10,5km,15km,800m,Garage
297,12,7,2,117,-10,15km,10km,200m,On street paid
383,12,8,1,118,0,10km,10km,800m,On street paid
280,12,8,2,118,20,10km,5km,200m,On street paid
40,12,9,1,119,20,10km,15km,200m,Garage
160,12,9,2,119,20,10km,10km,200m,On street free
401,12,10,1,120,-20,15km,15km,800m,On street paid
59,12,10,2,120,10,15km,5km,400m,Garage
368,13,1,1,121,0,10km,5km,800m,On street paid
344,13,1,2,121,10,15km,10km,400m,On street paid
297,13,2,1,122,-10,15km,10km,200m,On street paid
40,13,2,2,122,20,10km,15km,200m,Garage
309,13,3,1,123,10,10km,15km,200m,On street paid
144,13,3,2,123,10,10km,5km,200m,On street free
195,13,4,1,124,20,15km,5km,400m,On street free
380,13,4,2,124,20,5km,10km,800m,On street paid
371,13,5,1,125,-20,15km,5km,800m,On street paid
333,13,5,2,125,0,5km,10km,400m,On street paid
319,13,6,1,126,10,5km,5km,400m,On street paid
75,13,6,2,126,20,15km,10km,400m,Garage
344,13,7,1,127,10,15km,10km,400m,On street paid
102,13,7,2,127,-10,15km,5km,800m,Garage
183,13,8,1,128,0,5km,5km,400m,On street free
309,13,8,2,128,10,10km,15km,200m,On street paid
152,13,9,1,129,-10,5km,10km,200m,On street free
232,13,9,2,129,-10,10km,5km,800m,On street free
114,13,10,1,130,10,10km,10km,800m,Garage
67,13,10,2,130,-10,10km,10km,400m,Garage
333,14,1,1,131,0,5km,10km,400m,On street paid
216,14,1,2,131,-20,10km,15km,400m,On street free
216,14,2,1,132,-20,10km,15km,400m,On street free
401,14,2,2,132,-20,15km,15km,800m,On street paid
352,14,3,1,133,-10,10km,15km,400m,On street paid
183,14,3,2,133,0,5km,5km,400m,On street free
272,14,4,1,134,-10,5km,5km,200m,On street paid
43,14,4,2,134,0,15km,15km,200m,Garage
380,14,5,1,135,20,5km,10km,800m,On street paid
272,14,5,2,135,-10,5km,5km,200m,On street paid
67,14,6,1,136,-10,10km,10km,400m,Garage
352,14,6,2,136,-10,10km,15km,400m,On street paid
360,14,7,1,137,20,15km,15km,400m,On street paid
1,14,7,2,137,-20,5km,5km,200m,Garage
16,14,8,1,138,-20,5km,10km,200m,Garage
371,14,8,2,138,-20,15km,5km,800m,On street paid
201,14,9,1,139,-20,10km,10km,400m,On street free
128,14,9,2,139,0,10km,15km,800m,Garage
301,14,10,1,140,-20,5km,15km,200m,On street paid
179,14,10,2,140,10,15km,15km,200m,On street free
128,15,1,1,141,0,10km,15km,800m,Garage
368,15,1,2,141,0,10km,5km,800m,On street paid
59,15,2,1,142,10,15km,5km,400m,Garage
383,15,2,2,142,0,10km,10km,800m,On street paid
280,15,3,1,143,20,10km,5km,200m,On street paid
195,15,3,2,143,20,15km,5km,400m,On street free
95,15,4,1,144,20,5km,5km,800m,Garage
267,15,4,2,144,-10,15km,15km,800m,On street free
232,15,5,1,145,-10,10km,5km,800m,On street free
148,15,5,2,145,0,15km,5km,200m,On street free
267,15,6,1,146,-10,15km,15km,800m,On street free
213,15,6,2,146,0,5km,15km,400m,On street free
28,15,7,1,147,0,15km,10km,200m,Garage
360,15,7,2,147,20,15km,15km,400m,On street paid
179,15,8,1,148,10,15km,15km,200m,On street free
114,15,8,2,148,10,10km,10km,800m,Garage
77,15,9,1,149,-10,5km,15km,400m,Garage
244,15,9,2,149,10,5km,10km,800m,On street free
1,15,10,1,150,-20,5km,5km,200m,Garage
152,15,10,2,150,-10,5km,10km,200m,On street free
43,16,1,1,151,0,15km,15km,200m,Garage
260,16,1,2,151,20,5km,15km,800m,On street free
160,16,2,1,152,20,10km,10km,200m,On street free
16,16,2,2,152,-20,5km,10km,200m,Garage
51,16,3,1,153,-20,10km,5km,400m,Garage
95,16,3,2,153,20,5km,5km,800m,Garage
102,16,4,1,154,-10,15km,5km,800m,Garage
51,16,4,2,154,-20,10km,5km,400m,Garage
244,16,5,1,155,10,5km,10km,800m,On street free
301,16,5,2,155,-20,5km,15km,200m,On street paid
144,16,6,1,156,10,10km,5km,200m,On street free
124,16,6,2,156,10,5km,15km,800m,Garage
213,16,7,1,157,0,5km,15km,400m,On street free
201,16,7,2,157,-20,10km,10km,400m,On street free
251,16,8,1,158,-20,15km,10km,800m,On street free
77,16,8,2,158,-10,5km,15km,400m,Garage
148,16,9,1,159,0,15km,5km,200m,On street free
319,16,9,2,159,10,5km,5km,400m,On street paid
75,16,10,1,160,20,15km,10km,400m,Garage
251,16,10,2,160,-20,15km,10km,800m,On street free
260,17,1,1,161,20,5km,15km,800m,On street free
28,17,1,2,161,0,15km,10km,200m,Garage
124,17,2,1,162,10,5km,15km,800m,Garage
297,17,2,2,162,-10,15km,10km,200m,On street paid
383,17,3,1,163,0,10km,10km,800m,On street paid
280,17,3,2,163,20,10km,5km,200m,On street paid
40,17,4,1,164,20,10km,15km,200m,Garage
160,17,4,2,164,20,10km,10km,200m,On street free
401,17,5,1,165,-20,15km,15km,800m,On street paid
59,17,5,2,165,10,15km,5km,400m,Garage
368,17,6,1,166,0,10km,5km,800m,On street paid
344,17,6,2,166,10,15km,10km,400m,On street paid
297,17,7,1,167,-10,15km,10km,200m,On street paid
40,17,7,2,167,20,10km,15km,200m,Garage
309,17,8,1,168,10,10km,15km,200m,On street paid
144,17,8,2,168,10,10km,5km,200m,On street free
195,17,9,1,169,20,15km,5km,400m,On street free
380,17,9,2,169,20,5km,10km,800m,On street paid
371,17,10,1,170,-20,15km,5km,800m,On street paid
333,17,10,2,170,0,5km,10km,400m,On street paid
319,18,1,1,171,10,5km,5km,400m,On street paid
75,18,1,2,171,20,15km,10km,400m,Garage
344,18,2,1,172,10,15km,10km,400m,On street paid
102,18,2,2,172,-10,15km,5km,800m,Garage
183,18,3,1,173,0,5km,5km,400m,On street free
309,18,3,2,173,10,10km,15km,200m,On street paid
152,18,4,1,174,-10,5km,10km,200m,On street free
232,18,4,2,174,-10,10km,5km,800m,On street free
114,18,5,1,175,10,10km,10km,800m,Garage
67,18,5,2,175,-10,10km,10km,400m,Garage
333,18,6,1,176,0,5km,10km,400m,On street paid
216,18,6,2,176,-20,10km,15km,400m,On street free
216,18,7,1,177,-20,10km,15km,400m,On street free
401,18,7,2,177,-20,15km,15km,800m,On street paid
352,18,8,1,178,-10,10km,15km,400m,On street paid
183,18,8,2,178,0,5km,5km,400m,On street free
272,18,9,1,179,-10,5km,5km,200m,On street paid
43,18,9,2,179,0,15km,15km,200m,Garage
380,18,10,1,180,20,5km,10km,800m,On street paid
272,18,10,2,180,-10,5km,5km,200m,On street paid
67,19,1,1,181,-10,10km,10km,400m,Garage
352,19,1,2,181,-10,10km,15km,400m,On street paid
360,19,2,1,182,20,15km,15km,400m,On street paid
1,19,2,2,182,-20,5km,5km,200m,Garage
16,19,3,1,183,-20,5km,10km,200m,Garage
371,19,3,2,183,-20,15km,5km,800m,On street paid
201,19,4,1,184,-20,10km,10km,400m,On street free
128,19,4,2,184,0,10km,15km,800m,Garage
301,19,5,1,185,-20,5km,15km,200m,On street paid
179,19,5,2,185,10,15km,15km,200m,On street free
128,19,6,1,186,0,10km,15km,800m,Garage
368,19,6,2,186,0,10km,5km,800m,On street paid
59,19,7,1,187,10,15km,5km,400m,Garage
383,19,7,2,187,0,10km,10km,800m,On street paid
280,19,8,1,188,20,10km,5km,200m,On street paid
195,19,8,2,188,20,15km,5km,400m,On street free
